,Country,Region
131,Sri Lanka,Southern Asia
132,Cameroon,Sub-Saharan Africa
133,Bulgaria,Central and Eastern Europe
134,Egypt,Middle East and Northern Africa
135,Yemen,Middle East and Northern Africa
136,Angola,Sub-Saharan Africa
137,Mali,Sub-Saharan Africa
138,Congo (Brazzaville),Sub-Saharan Africa
139,Comoros,Sub-Saharan Africa
140,Uganda,Sub-Saharan Africa
141,Senegal,Sub-Saharan Africa
142,Gabon,Sub-Saharan Africa
143,Niger,Sub-Saharan Africa
144,Cambodia,Southeastern Asia
145,Tanzania,Sub-Saharan Africa
146,Madagascar,Sub-Saharan Africa
147,Central African Republic,Sub-Saharan Africa
148,Chad,Sub-Saharan Africa
149,Guinea,Sub-Saharan Africa
150,Ivory Coast,Sub-Saharan Africa
151,Burkina Faso,Sub-Saharan Africa
152,Afghanistan,Southern Asia
153,Rwanda,Sub-Saharan Africa
154,Benin,Sub-Saharan Africa
155,Syria,Middle East and Northern Africa
156,Burundi,Sub-Saharan Africa
157,Togo,Sub-Saharan Africa
14,Puerto Rico,Latin America and Caribbean
51,Belize,Latin America and Caribbean
75,Somalia,Sub-Saharan Africa
96,Somaliland Region,Sub-Saharan Africa
112,Namibia,Sub-Saharan Africa
142,South Sudan,Sub-Saharan Africa
